"method","lambda","final_elbo","n_iter","nu0","selected_L","causal_pip","top","top_alpha","seed","causal","sim_seconds","fit_seconds"
"relax",0.05,1844.86144206729,560,24.8177890060059,1,"0.546, 0.008","122, 434, 434, 434, 434","0.542, 0.002, 0.002, 0.002, 0.002",17,"122, 434",8.86800000000017,82.298
"collapse_shared",0.05,1843.56565092219,40,25,1,"0.539, 0.012","122, 434, 434, 434, 434","0.536, 0.002, 0.002, 0.002, 0.002",17,"122, 434",8.86800000000017,2.66699999999992
"relax",0.01,1874.93815783445,600,10,0,"0.045, 0.469","170, 167, 167, 167, 167","0.465, 0.002, 0.002, 0.002, 0.002",18,"23, 170",8.54200000000014,72.3710000000001
"collapse_shared",0.01,1875.02953858153,61,10,0,"0.138, 0.282","170, 146, 146, 146, 146","0.277, 0.002, 0.002, 0.002, 0.002",18,"23, 170",8.54200000000014,3.85699999999997
"relax",0.05,1909.79039298159,425,66.0295293997481,1,"0.008, 0.999","490, 498, 498, 498, 498","0.999, 0.002, 0.002, 0.002, 0.002",19,"324, 490",8.07199999999989,49.711
"collapse_shared",0.05,1929.12658343147,34,200,3,"0.004, 1.000","490, 494, 492, 466, 466","1.000, 0.378, 0.708, 0.002, 0.002",19,"324, 490",8.07199999999989,5.702
"relax",0.05,1820.68312058815,495,25.4290877004752,1,"0.396, 0.008","166, 153, 153, 153, 153","0.391, 0.002, 0.002, 0.002, 0.002",20,"166, 360",8.88900000000012,97.9100000000001
"collapse_shared",0.05,1819.33137437669,45,25,1,"0.370, 0.008","166, 153, 153, 153, 153","0.365, 0.002, 0.002, 0.002, 0.002",20,"166, 360",8.88900000000012,4.41199999999981
"relax",0.05,1916.8726182149,385,51.2424990602728,1,"0.888, 0.008","153, 320, 320, 320, 320","0.888, 0.002, 0.002, 0.002, 0.002",21,"153, 319",7.9659999999999,67.1480000000001
"collapse_shared",0.05,1917.5203202275,24,100,2,"0.834, 0.493","153, 320, 173, 173, 173","0.833, 0.505, 0.003, 0.003, 0.003",21,"153, 319",7.9659999999999,2.95600000000013
"relax",0.01,1929.57110105997,535,17.4768802574123,1,"1.000, 0.008","62, 486, 486, 486, 486","1.000, 0.002, 0.002, 0.002, 0.002",22,"62, 486",8.346,82.2570000000001
"collapse_shared",0.01,1927.75223319095,50,25,1,"1.000, 0.008","62, 486, 486, 486, 486","1.000, 0.002, 0.002, 0.002, 0.002",22,"62, 486",8.346,2.14199999999983
"relax",0.05,1687.13636133868,460,12.0304462857796,1,"0.179, 0.008","81, 91, 91, 91, 91","0.192, 0.002, 0.002, 0.002, 0.002",23,"79, 413",8.12200000000007,87.402
"collapse_shared",0.05,1685.27576028753,81,10,1,"0.173, 0.011","81, 91, 91, 91, 91","0.179, 0.002, 0.002, 0.002, 0.002",23,"79, 413",8.12200000000007,4.13200000000006
"relax",0.05,1764.89216898761,380,28.635989097922,1,"0.008, 0.145","406, 378, 378, 378, 378","0.191, 0.002, 0.002, 0.002, 0.002",24,"231, 403",8.21800000000007,91.7559999999999
"collapse_shared",0.01,1781.83649455914,108,10,1,"0.008, 0.105","406, 378, 378, 378, 378","0.109, 0.002, 0.002, 0.002, 0.002",24,"231, 403",8.21800000000007,4.51599999999962
"relax",0.01,1828.29832771868,690,10.2292457781469,1,"1.000, 0.008","135, 297, 297, 297, 297","1.000, 0.002, 0.002, 0.002, 0.002",25,"135, 297",8.21900000000005,101.1
"collapse_shared",0.01,1826.41294581586,95,10,1,"1.000, 0.008","135, 286, 286, 286, 286","1.000, 0.002, 0.002, 0.002, 0.002",25,"135, 297",8.21900000000005,3.11999999999989
